x_in,y_in
6.056055,0.472540
6.058409,0.475356
6.060759,0.478173
6.063103,0.480991
6.065443,0.483809
6.067778,0.486628
6.070109,0.489447
6.072435,0.492268
6.074756,0.495088
6.077073,0.497910
6.079385,0.500732
6.081692,0.503555
6.083994,0.506378
6.086292,0.509202
6.088585,0.512027
6.090873,0.514852
6.093157,0.517678
6.095435,0.520505
6.097709,0.523332
6.099979,0.526160
6.102243,0.528988
6.104503,0.531817
6.106757,0.534647
6.109007,0.537477
6.111253,0.540309
6.113493,0.543140
6.115729,0.545972
6.117959,0.548805
6.120185,0.551639
6.122406,0.554473
6.124622,0.557308
6.126834,0.560144
6.129040,0.562980
6.131242,0.565817
6.133439,0.568654
6.135630,0.571492
6.137817,0.574331
6.140000,0.577170
6.142177,0.580010
6.144349,0.582851
6.146516,0.585693
6.148679,0.588535
6.150837,0.591377
6.152989,0.594221
6.155137,0.597065
6.157280,0.599910
6.159418,0.602755
6.161551,0.605601
6.163679,0.608448
6.165802,0.611296
6.167920,0.614144
6.170033,0.616993
6.172142,0.619843
6.174245,0.622693
6.176344,0.625544
6.178437,0.628396
6.180526,0.631248
6.182609,0.634101
6.184688,0.636955
6.186762,0.639810
6.188831,0.642665
6.190894,0.645522
