psi_m,x_m,y_m,x_d,psi_d,y_d
19.292406,5.291502,-3.787453,5.216921,-0.094858,-2.962979
19.289761,5.293933,-3.789414,5.219410,-0.094551,-2.963215
19.287110,5.296369,-3.791365,5.221899,-0.094244,-2.963451
19.284453,5.298808,-3.793306,5.224388,-0.093937,-2.963686
19.281790,5.301252,-3.795238,5.226877,-0.093630,-2.963920
19.279122,5.303701,-3.797160,5.229366,-0.093323,-2.964153
19.276449,5.306154,-3.799072,5.231855,-0.093016,-2.964386
19.273771,5.308611,-3.800974,5.234344,-0.092709,-2.964618
19.271087,5.311073,-3.802867,5.236834,-0.092402,-2.964849
19.268400,5.313540,-3.804750,5.239323,-0.092095,-2.965079
19.265708,5.316010,-3.806624,5.241812,-0.091788,-2.965309
19.263011,5.318485,-3.808487,5.244302,-0.091482,-2.965537
19.260311,5.320965,-3.810341,5.246792,-0.091175,-2.965765
19.257607,5.323449,-3.812186,5.249281,-0.090868,-2.965993
19.254899,5.325937,-3.814020,5.251771,-0.090562,-2.966219
19.252188,5.328430,-3.815845,5.254261,-0.090255,-2.966445
19.249473,5.330928,-3.817661,5.256751,-0.089949,-2.966670
19.246756,5.333429,-3.819466,5.259241,-0.089642,-2.966894
19.244036,5.335935,-3.821262,5.261731,-0.089336,-2.967117
19.241312,5.338446,-3.823048,5.264221,-0.089029,-2.967340
19.238587,5.340961,-3.824825,5.266711,-0.088723,-2.967562
19.235859,5.343480,-3.826592,5.269201,-0.088417,-2.967783
19.233129,5.346004,-3.828349,5.271691,-0.088111,-2.968003
19.230397,5.348532,-3.830097,5.274182,-0.087804,-2.968223
19.227663,5.351064,-3.831835,5.276672,-0.087498,-2.968442
19.224927,5.353601,-3.833563,5.279162,-0.087192,-2.968660
19.222190,5.356142,-3.835282,5.281653,-0.086886,-2.968877
19.219452,5.358687,-3.836991,5.284144,-0.086580,-2.969094
19.216712,5.361237,-3.838690,5.286634,-0.086274,-2.969310
19.213972,5.363791,-3.840380,5.289125,-0.085968,-2.969525
19.211231,5.366349,-3.842061,5.291616,-0.085662,-2.969739
19.208489,5.368912,-3.843732,5.294107,-0.085356,-2.969952
19.205746,5.371478,-3.845393,5.296598,-0.085050,-2.970165
19.203003,5.374049,-3.847044,5.299089,-0.084745,-2.970377
19.200260,5.376625,-3.848687,5.301580,-0.084439,-2.970588
19.197517,5.379204,-3.850319,5.304071,-0.084133,-2.970799
19.194774,5.381788,-3.851942,5.306562,-0.083828,-2.971009
19.192031,5.384376,-3.853556,5.309053,-0.083522,-2.971217
19.189289,5.386968,-3.855160,5.311544,-0.083216,-2.971426
19.186547,5.389564,-3.856754,5.314036,-0.082911,-2.971633
19.183805,5.392165,-3.858340,5.316527,-0.082605,-2.971840
19.181065,5.394769,-3.859915,5.319019,-0.082300,-2.972046
19.178325,5.397378,-3.861481,5.321510,-0.081995,-2.972251
19.175586,5.399990,-3.863038,5.324002,-0.081689,-2.972455
